time,R_loc_pc
0.000000000000000000e+00,-6.106226635438360972e-16
1.010101010101010083e-01,1.500310431445939230e-10
2.020202020202020166e-01,-1.680339201115543801e-10
3.030303030303030387e-01,1.260247461942753944e-10
4.040404040404040331e-01,1.500304880330816104e-10
5.050505050505050830e-01,-6.106226635438360972e-16
6.060606060606060774e-01,-1.665334536937734811e-16
7.070707070707070718e-01,-2.145433275480002067e-10
8.080808080808080662e-01,8.851802624221249971e-11
9.090909090909090606e-01,-4.065816017195800214e-10
1.010101010101010166e+00,-1.305268115814328667e-10
1.111111111111111160e+00,-2.010402400109967402e-10
1.212121212121212155e+00,-2.010399624552405839e-10
1.313131313131313149e+00,5.371073585891394941e-10
1.414141414141414144e+00,-4.440894318946675412e-10
1.515151515151515138e+00,2.430489143279146447e-10
1.616161616161616132e+00,8.401651596656734000e-11
1.717171717171717127e+00,1.920381076381261209e-10
1.818181818181818121e+00,-1.260253568169389382e-10
1.919191919191919116e+00,8.401673801117226503e-11
2.020202020202020332e+00,-6.601319491039703280e-11
2.121212121212121104e+00,5.941199199277491516e-10
2.222222222222222321e+00,-2.190445047567379788e-10
2.323232323232323093e+00,7.501504972751149580e-11
2.424242424242424310e+00,-1.665334536937734811e-16
2.525252525252525082e+00,2.760551787162057735e-10
2.626262626262626299e+00,-1.800348758962400098e-11
2.727272727272727071e+00,-1.680336425557982238e-10
2.828282828282828287e+00,-1.800348758962400098e-11
2.929292929292929060e+00,2.940592769284933183e-10
3.030303030303030276e+00,7.951556080243449287e-11
3.131313131313131048e+00,-2.985604541372310905e-10
3.232323232323232265e+00,1.635326873916653767e-10
3.333333333333333481e+00,4.575917977867050013e-10
3.434343434343434254e+00,-4.950997389840949836e-10
3.535353535353535470e+00,7.501510523866272706e-11
3.636363636363636243e+00,-2.010399624552405839e-10
3.737373737373737459e+00,1.260248572165778569e-10
3.838383838383838231e+00,-2.760556783165668548e-10
3.939393939393939448e+00,8.401690454462595881e-11
4.040404040404040664e+00,2.100418172723550470e-10
4.141414141414140992e+00,-2.340472260442538754e-10
4.242424242424242209e+00,2.100422058504136658e-10
4.343434343434343425e+00,2.100422058504136658e-10
4.444444444444444642e+00,2.760547346269959235e-10
4.545454545454544970e+00,1.170241126224880190e-10
4.646464646464646187e+00,7.501566035017503964e-11
4.747474747474747403e+00,-1.440288999177141704e-10
4.848484848484848619e+00,-1.800393167883385104e-11
4.949494949494949836e+00,-1.440286778731092454e-10
5.050505050505050164e+00,2.940597210177031684e-10
5.151515151515151381e+00,6.106226635438360972e-16
5.252525252525252597e+00,-2.760556783165668548e-10
5.353535353535353813e+00,-2.895583217643604712e-10
5.454545454545454142e+00,3.825771921484033555e-10
5.555555555555555358e+00,-1.125223803022379343e-10
5.656565656565656575e+00,4.575914092086463825e-10
5.757575757575757791e+00,-4.950997389840949836e-10
5.858585858585858119e+00,6.451292833276056626e-10
5.959595959595959336e+00,7.501460563830164574e-11
6.060606060606060552e+00,-1.590318432498349921e-10
6.161616161616161769e+00,1.170233909775220127e-10
6.262626262626262097e+00,1.260251347723340132e-10
6.363636363636363313e+00,8.401668250002103377e-11
6.464646464646464530e+00,-1.920385517273359710e-10
6.565656565656565746e+00,2.100424278950185908e-10
6.666666666666666963e+00,8.401668250002103377e-11
6.767676767676767291e+00,2.775557561562891351e-16
6.868686868686868507e+00,-5.371081912564079630e-10
6.969696969696969724e+00,7.501566035017503964e-11
7.070707070707070940e+00,1.500299884327205291e-10
7.171717171717171269e+00,-1.800393167883385104e-11
7.272727272727272485e+00,1.260248572165778569e-10
7.373737373737373701e+00,2.940597210177031684e-10
7.474747474747474918e+00,5.551115123125782702e-16
7.575757575757575246e+00,-5.701152328008163295e-10
7.676767676767676463e+00,7.951556080243449287e-11
7.777777777777777679e+00,-4.065814351861263276e-10
7.878787878787878896e+00,-1.125222692799354718e-10
7.979797979797979224e+00,-4.500955164132847131e-12
8.080808080808081328e+00,-4.950994614283388273e-10
8.181818181818181657e+00,-4.860976621223755956e-10
8.282828282828281985e+00,3.690742156337023516e-10
8.383838383838384090e+00,4.110827789283177935e-10
8.484848484848484418e+00,1.680333650000420675e-10
8.585858585858586522e+00,-1.680330319331346800e-10
8.686868686868686851e+00,-8.401684903347472755e-11
8.787878787878787179e+00,1.680333094888908363e-10
8.888888888888889284e+00,3.600715281493194198e-10
8.989898989898989612e+00,3.600726383723440449e-10
9.090909090909089940e+00,3.000599213542898269e-10
9.191919191919192045e+00,-5.191037044660617994e-10
9.292929292929292373e+00,-2.010406841002065903e-10
9.393939393939394478e+00,1.260259674396024820e-10
9.494949494949494806e+00,2.940588328392834683e-10
9.595959595959595134e+00,2.940597210177031684e-10
9.696969696969697239e+00,-1.800348758962400098e-11
9.797979797979797567e+00,-1.680341976673105364e-10
9.898989898989899672e+00,-1.665334536937734811e-16
1.000000000000000000e+01,4.501066186435309646e-12
