time,R_energy_linear
0.000000000000000000e+00,-2.110342110335756843e+03
1.004016064257028107e-01,-1.069797765691765335e+03
2.008032128514056214e-01,-9.046500758054281732e+02
3.012048192771084043e-01,-9.922647530993017426e+02
4.016064257028112428e-01,-1.140932138141228279e+03
5.020080321285140812e-01,-1.206773708380537528e+03
6.024096385542168086e-01,-1.145340786916316347e+03
7.028112449799196471e-01,-1.055647750866505476e+03
8.032128514056224855e-01,-1.056215493677886798e+03
9.036144578313253239e-01,-1.152213191172524148e+03
1.004016064257028162e+00,-1.260039140493428931e+03
1.104417670682730890e+00,-1.296806821252889677e+03
1.204819277108433617e+00,-1.228215621870926043e+03
1.305220883534136567e+00,-1.083482759820655929e+03
1.405622489959839294e+00,-9.496255327197382030e+02
1.506024096385542244e+00,-9.252517194438412389e+02
1.606425702811244971e+00,-1.052498727242699715e+03
1.706827309236947698e+00,-1.286381225563943644e+03
1.807228915662650648e+00,-1.512966340003723872e+03
1.907630522088353375e+00,-1.590460365921375342e+03
2.008032128514056325e+00,-1.439877856791724525e+03
2.108433734939759052e+00,-1.183197830489672469e+03
2.208835341365461780e+00,-1.120232253861459640e+03
2.309236947791164507e+00,-1.442626679209886106e+03
2.409638554216867234e+00,-2.046999727376698274e+03
2.510040160642570406e+00,-2.616195000658824938e+03
2.610441767068273133e+00,-2.754319585432367148e+03
2.710843373493975861e+00,-2.278331881538405014e+03
2.811244979919678588e+00,-1.602022408441139305e+03
2.911646586345381316e+00,-1.335145745974679130e+03
3.012048192771084487e+00,-1.522278443535319411e+03
3.112449799196787215e+00,-1.836083717343107537e+03
3.212851405622489942e+00,-2.067566813128172726e+03
3.313253012048192669e+00,-2.180743274627785013e+03
3.413654618473895397e+00,-2.188509746542220455e+03
3.514056224899598568e+00,-2.084546494761686063e+03
3.614457831325301296e+00,-1.849153839337203635e+03
3.714859437751004023e+00,-1.503513526097641034e+03
3.815261044176706751e+00,-1.158270261750362124e+03
3.915662650602409478e+00,-9.702050834761757869e+02
4.016064257028112650e+00,-1.019732559218123470e+03
4.116465863453814933e+00,-1.257571378690035544e+03
4.216867469879518104e+00,-1.574530053341734174e+03
4.317269076305221276e+00,-1.886764762328136385e+03
4.417670682730923559e+00,-2.159915226137271475e+03
4.518072289156626731e+00,-2.386306416525673285e+03
4.618473895582329014e+00,-2.543671802287846276e+03
4.718875502008032186e+00,-2.553392118162584666e+03
4.819277108433734469e+00,-2.293388766341304745e+03
4.919678714859437640e+00,-1.756555168584841113e+03
5.020080321285140812e+00,-1.224062051672096686e+03
5.120481927710843095e+00,-1.059082740006125960e+03
5.220883534136546267e+00,-1.313908113771001126e+03
5.321285140562248550e+00,-1.767911707456851900e+03
5.421686746987951722e+00,-2.217028710692704863e+03
5.522088353413654893e+00,-2.586796760792735768e+03
5.622489959839357176e+00,-2.891911945024452052e+03
5.722891566265060348e+00,-3.178557150796246333e+03
5.823293172690762631e+00,-3.473912643877501068e+03
5.923694779116465803e+00,-3.702554548483138660e+03
6.024096385542168974e+00,-3.586810392477941605e+03
6.124497991967871258e+00,-2.843382443522402809e+03
6.224899598393574429e+00,-1.838882421579061884e+03
6.325301204819276712e+00,-1.390423654282605639e+03
6.425702811244979884e+00,-1.591457869654552496e+03
6.526104417670683056e+00,-1.952165259749841653e+03
6.626506024096385339e+00,-2.181085749295432834e+03
6.726907630522088510e+00,-2.265333971235635090e+03
6.827309236947790794e+00,-2.271614666362163916e+03
6.927710843373493965e+00,-2.250488923638331926e+03
7.028112449799197137e+00,-2.225914242834137895e+03
7.128514056224899420e+00,-2.206199950784243356e+03
7.228915662650602592e+00,-2.193339411871466837e+03
7.329317269076304875e+00,-2.187817479981466022e+03
7.429718875502008046e+00,-2.190339877451242046e+03
7.530120481927711218e+00,-2.201612391347089670e+03
7.630522088353413501e+00,-2.220126015633208681e+03
7.730923694779116673e+00,-2.236755809957501242e+03
7.831325301204818956e+00,-2.225194695526915439e+03
7.931726907630522128e+00,-2.133521435703416955e+03
8.032128514056225299e+00,-1.900355915489831204e+03
8.132530120481927582e+00,-1.527590970755493572e+03
8.232931726907629866e+00,-1.165066031968432526e+03
8.333333333333333925e+00,-1.045166158961068504e+03
8.433734939759036209e+00,-1.264171405999878061e+03
8.534136546184738492e+00,-1.701443183812732968e+03
8.634538152610442552e+00,-2.165224701871504749e+03
8.734939759036144835e+00,-2.534017385315118645e+03
8.835341365461847118e+00,-2.777024402618862496e+03
8.935742971887549402e+00,-2.914432976947497082e+03
9.036144578313253461e+00,-2.980271623304398872e+03
9.136546184738955745e+00,-3.003958383089618110e+03
9.236947791164658028e+00,-3.005410222499322117e+03
9.337349397590362088e+00,-2.996245463340994320e+03
9.437751004016064371e+00,-2.982539950850932655e+03
9.538152610441766655e+00,-2.967273386557844333e+03
9.638554216867468938e+00,-2.952033793305114614e+03
9.738955823293172998e+00,-2.938101133485433365e+03
9.839357429718875281e+00,-2.927158236333951663e+03
9.939759036144577564e+00,-2.921830613073926543e+03
1.004016064257028162e+01,-2.926101033956586889e+03
1.014056224899598391e+01,-2.945266032518428801e+03
1.024096385542168619e+01,-2.984138574649000930e+03
1.034136546184739025e+01,-3.040059139651277292e+03
1.044176706827309253e+01,-3.084515039037375118e+03
1.054216867469879482e+01,-3.032506266829070228e+03
1.064257028112449710e+01,-2.739740328537303867e+03
1.074297188755020116e+01,-2.134888186856795983e+03
1.084337349397590344e+01,-1.456905660673117382e+03
1.094377510040160573e+01,-1.164458414517284837e+03
1.104417670682730979e+01,-1.437193571604399722e+03
1.114457831325301207e+01,-2.040787182835244721e+03
1.124497991967871435e+01,-2.670330218726496696e+03
1.134538152610441841e+01,-3.171018561511072676e+03
1.144578313253012070e+01,-3.517568898771166005e+03
1.154618473895582298e+01,-3.739381953107687423e+03
1.164658634538152526e+01,-3.875474080222529665e+03
1.174698795180722932e+01,-3.957744150712301689e+03
1.184738955823293161e+01,-4.007968942376302039e+03
1.194779116465863389e+01,-4.039543908472643125e+03
1.204819277108433795e+01,-4.060089557165268616e+03
1.214859437751004023e+01,-4.073635899282560331e+03
1.224899598393574252e+01,-4.082146587567261577e+03
1.234939759036144658e+01,-4.086483698011171782e+03
1.244979919678714886e+01,-4.086979023507666170e+03
1.255020080321285114e+01,-4.083754886241646091e+03
1.265060240963855342e+01,-4.076898878320128460e+03
1.275100401606425748e+01,-4.066563513701681131e+03
1.285140562248995977e+01,-4.053040893186000631e+03
1.295180722891566205e+01,-4.036853515479721864e+03
1.305220883534136611e+01,-4.018907329830768958e+03
1.315261044176706839e+01,-4.000772604394005157e+03
1.325301204819277068e+01,-3.985195104070216075e+03
1.335341365461847296e+01,-3.976982389712952227e+03
1.345381526104417702e+01,-3.984386657488338642e+03
1.355421686746987930e+01,-4.020710685092727999e+03
1.365461847389558159e+01,-4.104040037647720965e+03
1.375502008032128565e+01,-4.246896063864283860e+03
1.385542168674698793e+01,-4.414034839115080104e+03
1.395582329317269021e+01,-4.428066006057229970e+03
1.405622489959839427e+01,-3.940964576273559487e+03
1.415662650602409656e+01,-2.841662313644263577e+03
1.425702811244979884e+01,-1.775414111835374797e+03
1.435742971887550112e+01,-1.431675576364187918e+03
1.445783132530120518e+01,-1.655932131503483333e+03
1.455823293172690747e+01,-1.975653596743222579e+03
1.465863453815260975e+01,-2.180371470911089546e+03
1.475903614457831381e+01,-2.274402458654515613e+03
1.485943775100401609e+01,-2.310712200342401957e+03
1.495983935742971838e+01,-2.326344360970346315e+03
1.506024096385542244e+01,-2.337987648955239365e+03
1.516064257028112472e+01,-2.350711762799645385e+03
1.526104417670682700e+01,-2.364834021708909404e+03
1.536144578313252929e+01,-2.379378154894696763e+03
1.546184738955823335e+01,-2.393389927678929780e+03
1.556224899598393563e+01,-2.406250740480612421e+03
1.566265060240963791e+01,-2.417631831471399892e+03
1.576305220883534197e+01,-2.427376939314218816e+03
1.586345381526104426e+01,-2.435411363333096233e+03
1.596385542168674654e+01,-2.441692397031521523e+03
1.606425702811245060e+01,-2.446189767880330237e+03
1.616465863453815288e+01,-2.448881716400023379e+03
1.626506024096385516e+01,-2.449757139847045437e+03
1.636546184738955745e+01,-2.448818712376162694e+03
1.646586345381525973e+01,-2.446085124439495758e+03
1.656626506024096201e+01,-2.441592123486369019e+03
1.666666666666666785e+01,-2.435392520029597563e+03
1.676706827309237013e+01,-2.427555536383407798e+03
1.686746987951807242e+01,-2.418165668564454791e+03
1.696787148594377470e+01,-2.407321252396233831e+03
1.706827309236947698e+01,-2.395132816359916887e+03
1.716867469879517927e+01,-2.381721239820690244e+03
1.726907630522088510e+01,-2.367215797554463279e+03
1.736947791164658739e+01,-2.351752030751440543e+03
1.746987951807228967e+01,-2.335469635280132934e+03
1.757028112449799195e+01,-2.318510361020739765e+03
1.767068273092369424e+01,-2.301015823225772692e+03
1.777108433734939652e+01,-2.283125437107121343e+03
1.787148594377509880e+01,-2.264974573820418755e+03
1.797188755020080464e+01,-2.246692790906560276e+03
1.807228915662650692e+01,-2.228402361843262497e+03
1.817269076305220921e+01,-2.210216973278120804e+03
1.827309236947791149e+01,-2.192240915398781453e+03
1.837349397590361377e+01,-2.174568247647287080e+03
1.847389558232931606e+01,-2.157282488575739535e+03
1.857429718875501834e+01,-2.140456578527725014e+03
1.867469879518072418e+01,-2.124153166513665383e+03
1.877510040160642646e+01,-2.108425146656093148e+03
1.887550200803212874e+01,-2.093316526483832604e+03
1.897590361445783103e+01,-2.078863707516775776e+03
1.907630522088353331e+01,-2.065097185509708652e+03
1.917670682730923559e+01,-2.052043946175296696e+03
1.927710843373493788e+01,-2.039730781935027153e+03
1.937751004016064371e+01,-2.028189154489933571e+03
1.947791164658634600e+01,-2.017462411208152389e+03
1.957831325301204828e+01,-2.007616801844039173e+03
1.967871485943775056e+01,-1.998758471247229636e+03
1.977911646586345285e+01,-1.991059729648756274e+03
1.987951807228915513e+01,-1.984799253087802072e+03
1.997991967871486096e+01,-1.980421935089429780e+03
2.008032128514056325e+01,-1.978622985732951065e+03
2.018072289156626553e+01,-1.980451849171036201e+03
2.028112449799196781e+01,-1.987398917414533116e+03
2.038152610441767010e+01,-2.001334055508755910e+03
2.048192771084337238e+01,-2.023927917101221055e+03
2.058232931726907466e+01,-2.054677035739944586e+03
2.068273092369478050e+01,-2.085885474782637175e+03
2.078313253012048278e+01,-2.093089463660345700e+03
2.088353413654618507e+01,-2.025270596468365056e+03
2.098393574297188735e+01,-1.817967489105721370e+03
2.108433734939758963e+01,-1.464701041977785508e+03
2.118473895582329192e+01,-1.106879132211621936e+03
2.128514056224899420e+01,-9.739282640626897773e+02
2.138554216867470004e+01,-1.162530208284580567e+03
2.148594377510040232e+01,-1.555172169558561336e+03
2.158634538152610460e+01,-1.968019171064530838e+03
2.168674698795180689e+01,-2.288744111124664869e+03
2.178714859437750917e+01,-2.491985072826988016e+03
2.188755020080321145e+01,-2.598857711319539249e+03
2.198795180722891729e+01,-2.641845626580915905e+03
2.208835341365461957e+01,-2.648318218338063161e+03
2.218875502008032186e+01,-2.636567666513673430e+03
2.228915662650602414e+01,-2.617154851622415208e+03
2.238955823293172642e+01,-2.595473694700431224e+03
2.248995983935742871e+01,-2.573934779231804896e+03
2.259036144578313099e+01,-2.553422216457928698e+03
2.269076305220883683e+01,-2.534135185804529101e+03
2.279116465863453911e+01,-2.516019213360871163e+03
2.289156626506024139e+01,-2.498959819512931062e+03
2.299196787148594368e+01,-2.482853889488433651e+03
2.309236947791164596e+01,-2.467625901813382370e+03
2.319277108433734824e+01,-2.453223941563853259e+03
2.329317269076305053e+01,-2.439611093922593227e+03
2.339357429718875636e+01,-2.426758218911006679e+03
2.349397590361445864e+01,-2.414639264159970026e+03
2.359437751004016093e+01,-2.403228844380791543e+03
2.369477911646586321e+01,-2.392501456797472201e+03
2.379518072289156549e+01,-2.382431292410623882e+03
2.389558232931726778e+01,-2.372992230922194722e+03
2.399598393574297006e+01,-2.364158566965956197e+03
2.409638554216867590e+01,-2.355904338708553951e+03
2.419678714859437818e+01,-2.348204271661254552e+03
2.429718875502008046e+01,-2.341035067355729552e+03
2.439759036144578275e+01,-2.334373105291022966e+03
2.449799196787148503e+01,-2.328196156622634589e+03
2.459839357429718731e+01,-2.322483322414101167e+03
2.469879518072289315e+01,-2.317214268242709750e+03
2.479919678714859543e+01,-2.312370451092183885e+03
2.489959839357429772e+01,-2.307934370795304403e+03
2.500000000000000000e+01,-2.303890087914493051e+03
